old_id,old_title,old_web,old_image,old_source,old_city,coverage,match_status,match_score,new_id,new_title,new_web
614,Dimitris Bar Level One,http://www.dimitrisbarlevelone.com,/images/Dimitris120x50.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\function_centres.htm,,covered,matched_domain,1,126,Dimitris Bar Level One,dimitrisbarlevelone.com
615,Noosa Jazz,http://www.noosajazz.com.au,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:276,Brisbane,covered,matched_domain,1,306,Noosa Jazz,noosajazz.com.au
616,Life Coach and Sports Coach Location Chatswood,,/images/joannemansell-sml.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\page_links\lifecoaches\lifecoachbio_joannemansell_sydney.htm,,possible_old_only,unmatched,0.438,,,
617,Queen of the Nile Bellydance,http://www.queenilebellydance.com.au/,/images/queen_nile_100x100.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:470,Sydney,covered,matched_domain,1,355,Queen of the Nile Bellydance,queenilebellydance.com.au
618,First Class Events,,/images/firstclassspeeddate_150x87.jpg,F:\Work\Websites\Frontpage Sites\events4singles\speed_dating_brisbane.htm,Brisbane,possible_old_only,unmatched,0.778,,,
619,Jennifer Twohig,,/images/jennytwohig-sml.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:214,Sydney,covered,matched_title,1,200,Jennifer Twohig,
620,Lasting Health & Richer Lives,http://www.richerlives.com.au/hwsolutions,/images/Singles_Health.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\advertisers\Listing archives.htm,,possible_old_only,unmatched,0.578,,,
621,Blue Velvet,http://www.bluevelvet.com.au,/images/bluevelvet_158x81.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:85,Melbourne,covered,matched_domain,1,55,Blue Velvet,bluevelvet.com.au
622,George's Place,http://www.georgesplace.com.au,/images/georgesplace_170x90.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:85,Melbourne,covered,matched_domain,1,168,George's Place,georgesplace.com.au
623,Dinner Connections,,/images/dinnerconnections-darwin-120x80.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\dinner_for_six_darwin.htm,Darwin,covered,matched_title,1,578,Dinner Connections,
624,"Single Gourmet excellent dining club, parties at restaurants and up-market venues E: singlegourmet_8@hotmail.com",http://www.alltry.com.au/singlegourmet,,D:\Projects\Clients\Dad\Events4singles\legacy\site\images\events_adelaide.htm,Adelaide,review:long_title,unmatched,0.348,,,
625,Viva Cabaret,http://www.vivadance.com.au,/images/vivadance_90x151.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\Customer page links\quotes\vivadance.htm,,covered,matched_domain,1,510,VIVA Cabaret,vivadance.com.au/classes.html
626,TeleCafe,http://www.telecafe.com.au/default.asp,/images/telecafe.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:71,,covered,matched_domain,1,471,TeleCafe,telecafe.com.au/?idx=816
628,HotGozzip API Test,http://www.hotgozzip.com.au/,/images/hotGozzip.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:71,,possible_old_only,unmatched,0.541,,,
